product_id,product_name,product_price,product_quantity,product_description,category_id,supplier_id
APL8923,Apple (Red Delicious),1.5,1500,"Crisp and juicy apples with a sweet flavor, perfect for snacking or baking.",CG101,SP0001GFC
BAN4156,Banana (Cavendish),0.5,120,"Creamy and sweet bananas, ideal for adding to smoothies or enjoying as a quick and healthy snack.",CG101,SP0001GFC
ORA7824,Orange (Navel),0.8,180,"Refreshing and citrusy oranges, great for juicing or simply enjoying as a healthy snack.",CG101,SP0006ABC
STR6732,Strawberry (Sweet Charlie),2,250,"Plump and succulent strawberries with a sweet flavor, perfect for adding to desserts or salads.",CG101,SP0006ABC
CAR2198,Carrot (Nantes),0.3,80,"Crunchy and sweet carrots, versatile for use in salads, soups, or as a healthy snack.",CG102,SP0007XYZ
TOM5643,Tomato (Beefsteak),1,180,"Juicy and flavorful tomatoes, ideal for slicing and adding to sandwiches or salads.",CG102,SP0007XYZ
BRO3251,Broccoli (Calabrese),1.2,250,"Tender and nutritious broccoli florets, great for steaming, roasting, or adding to stir-fries.",CG102,SP0007XYZ
SPI1472,Spinach (Baby Leaf),1.5,100,"Delicate and nutritious baby spinach leaves, perfect for salads, smoothies, or sautéing.",CG102,SP0007XYZ
BAS9145,Basil (Genovese),1.8,50,"Fragrant and aromatic basil leaves, essential for making pesto or adding to pasta dishes.",CG103,SP0008FDS
PAR5298,Parsley (Italian Flat-leaf),1.2,50,"Fresh and vibrant Italian flat-leaf parsley, ideal for garnishing dishes or adding to sauces.",CG103,SP0008FDS
MIN6587,Mint (Spearmint),1.5,40,"Cool and refreshing spearmint leaves, perfect for making mint tea or adding to cocktails.",CG103,SP0008FDS
ROS3861,Rosemary (Common),1.8,30,"Woody and aromatic rosemary sprigs, great for seasoning meats, potatoes, or bread.",CG103,SP0008FDS
RIB7249,Ribeye Steak (Prime Grade),15,300,"Juicy and flavorful ribeye steak, known for its rich marbling and exceptional taste when grilled.",CG201,SP0002MMD
GRO1857,Ground Beef (80/20 Lean to Fat Ratio),8,500,"Versatile and flavorful ground beef, perfect for making burgers, meatballs, or tacos.",CG201,SP0002MMD
BEE4178,Beef Tenderloin (Filet Mignon),20,400,"Tender and succulent filet mignon, prized for its buttery texture and melt-in-your-mouth flavor.",CG201,SP0009GHI
BEE8923,"Beef Brisket (Whole, Untrimmed)",12,1000,"Rich and flavorful beef brisket, ideal for slow-cooking or smoking to achieve tender perfection.",CG201,SP0009GHI
POR6315,Pork Chops (Bone-In),6.5,600,"Juicy and tender pork chops with the bone left in, perfect for grilling, roasting, or frying.",CG202,SP0002MMD
POR2175,Pork Tenderloin (Center-Cut),8,500,"Lean and tender pork tenderloin, great for marinating and grilling or roasting whole.",CG202,SP0002MMD
POR9842,Pork Belly (Skin-On),9.5,700,"Succulent and flavorful pork belly with the skin left on, ideal for braising or roasting until crispy.",CG202,SP0010JKL
HAM5298,"Ham (Smoked, Bone-In)",10,800,"Smoky and savory ham with the bone left in, perfect for slicing and serving as a main dish or sandwich.",CG202,SP0010JKL
CHI3817,"Chicken Breast (Boneless, Skinless)",4.5,300,"Lean and versatile chicken breast, perfect for grilling, baking, or sautéing in a variety of dishes.",CG203,SP0002MMD
CHI9513,"Chicken Thighs (Bone-In, Skin-On)",3.5,350,"Juicy and flavorful chicken thighs with the bone and skin intact, ideal for roasting or braising.",CG203,SP0002MMD
CHI7218,Chicken Wings (Party Style),5,400,"Crispy and flavorful chicken wings, perfect for serving as an appetizer or party snack.",CG203,SP0011MNO
WHO4821,Whole Chicken (Free-Range),12,1000,"Tender and juicy whole chicken, ideal for roasting or grilling for a delicious family meal.",CG203,SP0011MNO
JUM1568,"Jumbo Shrimp (Peeled, Deveined)",20,500,"Plump and succulent jumbo shrimp, peeled and deveined for convenience, perfect for grilling or sautéing.",CG204,SP0002MMD
TIG7291,Tiger Shrimp (Wild-Caught),18,400,"Succulent tiger shrimp, wild-caught and bursting with flavor. Perfect for grilling, sautéing, or adding to pasta dishes.",CG204,SP0002MMD
WHI4826,White Shrimp (Farm-Raised),15,300,"Delicate white shrimp, farm-raised for exceptional taste and texture. Ideal for grilling, stir-frying, or tossing into salads.",CG204,SP0012PQR
BLA3198,"Black Tiger Shrimp (Large, Head-On)",22,600,"Bold black tiger shrimp, large and flavorful with striking black stripes. Great for grilling, broiling, or adding to seafood boils.",CG204,SP0012PQR
